x,fit
0,445.2
0.488,445.2
0.976,445.2
1.464,445.2
1.952,445.2
2.44,445.2
2.928,445.2
3.416,445.2
3.904,445.2
4.392,445.2
4.88,445.2
5.368,445.3
5.856,445.6
6.344,446.8
6.832,450.3
7.32,460.1
7.808,482.9
8.296,528.7
8.784,606.4
9.272,716.5
9.76,843.3
10.248,954.5
10.736,1013.3
11.224,998.3
11.712,917.1
12.2,803.3
12.688,699.8
13.176,640.9
13.664,642.3
14.152,699.6
14.64,790
15.128,878.6
15.616,929.5
16.104,920.5
16.592,853.8
17.08,752.6
17.568,647.5
18.056,561.7
18.544,503.9
19.032,471.1
19.52,455.2
20.008,448.6
20.496,446.2
20.984,445.5
21.472,445.3
21.96,445.2
22.448,445.2
22.936,445.2
23.424,445.2
23.912,445.2
24.4,445.2
24.888,445.2
25.376,445.2
25.864,445.2
26.352,445.2
