Distance_(µm),fit
0,307.7
0.488,307.7
0.976,307.7
1.464,307.8
1.952,307.9
2.44,308.2
2.928,309.1
3.416,311.5
3.904,317.3
4.392,329.7
4.88,353.6
5.368,394.3
5.856,455.9
6.344,537.8
6.832,631.6
7.32,721.2
7.808,786.5
8.296,810.6
8.784,787.6
9.272,725.0
9.76,641.6
10.248,560.3
10.736,501.0
11.224,475.8
11.712,487.5
12.2,530.8
12.688,593.7
13.176,659.6
13.664,710.7
14.152,732.8
14.64,719.3
15.128,673.1
15.616,605.0
16.104,529.4
16.592,459.2
17.08,402.6
17.568,362.2
18.056,336.4
18.544,321.5
19.032,313.8
19.52,310.2
20.008,308.6
20.496,308.0
20.984,307.8
21.472,307.8
21.96,307.7
22.448,307.7
22.936,307.7
23.424,307.7
23.912,307.7
24.4,307.7
24.888,307.7
25.376,307.7
25.864,307.7
26.352,307.7
